,Review
180,"MG Hector: under thai support is not good on rear seats but the legroom is awesome, the car is comfortable on long distances."
181,"MG Hector is a full package of good looks, status, and technology. Which is delivering more performance. I am passionate about MG Hector. I think this is a better investment because MG Hector will not lose much value as compared to others. MG Hector has more gadgets which help to avoid accidents. Seats of the car are pretty comfortable. Read More"
182,MG Hector is the best car to buy in the budget of 25 lacs. Saturated with features and looks. An ultimate to JEEP COMPASS and TATA HARRIER. A pure luxury car with interiors much similar to that of MERCEDES. The most sensational panoramic sunroof has got automatic folding and unfolding cover of the glass. I would prefer this car for all the bearers....Read More
183,"MG Hector is sensational in all respect, looks , interiors, exterior, handling, driving. Simple superb I have personally experienced it since last 20 days of my delivery. No second thought Keep negative rumors apart. Worthy buy. Read More"
184,"MG Hector is the best-in-class car,terrible beat the competition and market of other cars like Creta and others, Luv this car, awesome performance, first in class tesla screen, which is wonderful, internet inside is the best feature I like the most,this is the wonderful car, with amazing performance, I want to buy this car in future. Read More"
185,MG Hector is a very hi-tech car according to its price range. Future technology has been used. Very good looking car with nice comfort hope to see something more from MG. It's very important to bring new technology at cheaper in India which MG has been successful in doing with its first car and best of luck to mg for its future upcoming car. Read More
186,"MG Hector is an amazing car specially with its features, it has been launched in very aggressive pricing. No car can beat it. It is a very long and wide car with unbelievable boot space of 587 liters. And it comes with the latest safety features like TCS, ESP which is amazing. As well as it is Internet connected car so it's safety is improved like ...Read More"
187,MG Hector is the best car in the segment. The car has good design and loaded with great features. It is a king on the road.
188,MG Hector is a very comfortable vehicle and value for money. 
189,"MG Hector is Value for money car. It has excellent features.  It has electronically adjustable Front sensors, rear sensors, Front camera, rear camera."
190,"Such a futuristic car MG Hector is like you can control your car with just your voice like""MG OPEN THE SUNROOF"" and the sunroof will get opened. Wow, I just love it."
191,"There is no manufacturing defect from the brand\'s end. Also, we haven\'t been reported regarding any issues in the car. Proper oiling and maintenance of the mechanixcs in the car will prevent the car from defects."
192,"MG Hector is a car came in the market which can bring down other cars to shame. Yes, this car brings something very awesome with itself. The bold grill with a large MG badging is just like icing on the cake. The massive sunroof &#x1f60d;&#x1f60d; oh gosh it's a piece of art. Dual exhaust and the chrome treatment looks stunning. Of course, how can I...Read More"
193,"MG Hector is an amazing car specially with its features, it has been launched in very aggressive pricing. No car can beat it. It is a very long and wide car with unbelievable boot space of 587 liters. And it comes with the latest safety features like TCS, ESP which is amazing. As well as it is Internet connected car so it's safety is improved like ...Read More"
194,MG Hector when did advertisement from then only the car looked way to big and as its name its the human thing like everything can be controlled just by speaking the things like hello mg please open the sunroof and sunroof gets opened and also the car offers many other services and features that are basically the best thing in this price range overa...Read More
195," I am the biggest fan of MG Hector. Ok, now I will give you the proper review of this car. First, we have to go through the specifications (which mainly I liked ) *1956 cc engine *168 bhp *50+ connected features *25+ std safety features This is the specifications personally I liked more. Now we have to talk about, Pros :  *Design, *Full led lights,...Read More"
196,MG Hector is a very nice and budget car for many people. The specs and features the company is providing are very good.
197,MG Hector is awesome car and it has the best features. Its road presence is too good and it has good safety standards.
198,MG Hector is a nice car and gives a superb performance. It has a powerful engine and a super pick up.
199,MG Hector is a fantastic car. It has voice control and it gives super driving experience.
200,MG Hector is a nice car with comfortable seats. New generation people will like this car for sure. Very good car in its segment as compared to Creta and Seltos.
201,MG Hector is a great car very comfortable and has power in the engine. Actually worth of money 17lakhs for all those features is a go for me.
202,"Actually just I am giving 5 &#x1f31f; to MG Hector because it actually deserves this. According to the asking price, this car is just awesome. Car is having internet and it is good looking thus States the car that it is one of the best cars of 2019. If MG will give this type of car in the future then surely the company will touch the sky and for th...Read More"
203,MG Hector is super and features are superb specialist features are very good and this car made with human technology. It's India's first human technology car under 20lakhs and comfort of this car also very good and panoramic sunroof is very long and I can't ever see such a car with that excellent features I wish to buy this car for all. Read More
204,MG Hector - Front grill helps this car to get an amazing road presence. Customize the interior of your car from mg as the Black interior is boring. The infotainment system is average but not best. Hector has awesome build quality. If you want to get a good buy in this segment you should go for hector. Mg hector is far better than Hyundai Creta. Read More
205,"MG hector is totally amazing car, both look vise and feature vise. It has a voice command feature which is unique in its segment. secondly, MG hector does not have a hump in the legroom of rear seats. It also has the largest boot as compared to its rivals. Its more spacious and quality of material used in making the dashboard is really awesome. Read More"
206,MG Hector is a good car. Done something different from others. Value for money car. Best ever features. The best thing it's infotainment system. It's front grill and headlamps gives it a different and gorgeous look. Its seating comfort is also best in class. A perfect five-seater car. Alloys also give it an enhanced look. The built quality is also ...Read More
207,"One of the best cars in today's generation, speechless features, ultimate look, excellent in speed and pick up, nice infrastructure, average, and mileage are quite good."
208,"It would be best if you name it as a china toy car. It has many problems, please no one buy the car and waste your money. The clutch plates will get burnt if you drive for more time in traffic, for diesel, there are fuel pump problems, All the parts are exported from China. Read More"
209,"Car and its features are superb, this car made with human technology and it's India's first human technology car under 20 lakhs and comfort of this car also very good. The panaromic sunroof is very long. Read More"
210,"MG Hector is an Amazing car, have no words but I can only say that from a bit time ago it becomes my dream car and I recently purchased it by knowing features, photos and dealers contact around me with the help of #CARDEKHO, Thanks, cardekho team, and great app keep helping people and fulfilling people's dream. Read More"
211,MG Hector is good for its internetwork but all people say that it is a Chinese company.
212,"MG Hector is an outstanding car as the car is offering almost everything like sunroof, speaker system, 10 inches touch screen infotainment system. The car has excellent interiors and exteriors. The car has some disadvantages as well, like small tyres and turbo lag. Otherwise, the car is excellent at a good price range. Read More"
213,MG Hector is an eyecatcher. We got MG on 9th of July. since days we are on top of cloud 9. its super amazing car with all luxury comfort style smartness n most imp internet-connected car. Read More
214,MG Hector is the best car I have ever seen in my life. It is a voice control car. And it is at the lowest price is only 12 lakhs. And it looks very shiny and it has a sunroof. The sunroof makes us being the best view of nature. It has an awesome and stylish body. It also talks to us.  Read More
215,"Actually, just I am giving 5 &#x1f31f; to MG Hector because it actually deserves this. According to the asking price, this car is just awesome. Car is having internet and it is good looking thus States the car that it is one of the best cars of 2019. If MG will give this type of car in the future then surely the company will touch the sky and for t...Read More"
216,MG Hector gives a good pick up. Looks are awesome. The best part is its sunroof and available at an affordable price 20Lakh. The competition is the Creta and the compass but it has an edge on it I think that the interior could have a more luxurious feel but if you are looking for a good package SUV + MUV you have my blessings go for it. Read More
217,MG Hector is the best SUV in India. It has many good features. It gives the best driving experience. Very comfortable car.
218,"It is a human thing and has so many good features. It is a fully automatic car like we say that ""Hello MG, Please open sunroof, Please play my favorite song, Please turn on AC"" and it responds so well.  Read More"
219,MG Hector has good looks but I prefer MG ZS EV is my choice spacious cabin bigger than Creta and Kia seltos and in EV its better than Tata upcoming ev to buy.
220,I think  MG Hector need more time to set in India and Kia Seltos is best in comparison with it.
221,MG Hector is such a brilliant car because it has internet inside and gives premium quality. This car is very powerful. I like this car a lot.
222,"There is no manufacturing defect from the brand\'s end. Also, we haven\'t been reported regarding any issues in the car. Proper oiling and maintenance of the mechanixcs in the car will prevent the car from defects."
223, MG Hector is a good car but Kia has beaten it at price. No doubt features are endless the reflector beam at the back spoils the look. Though the handling is good and its voice control is a bit laggy. Interior is good but could be better. Exterior needs to be better. The engine is solid and the pickup is great mood work by MG for roads in India. Ho...Read More
224,"MG Hector cant be the segment leader just because of low price and this car is not offering things up to the mark, as the car is offering low quality at low price and this is very disappointing. Either u raise ur standard quality and charge more money or must stop selling this cheap product. Read More"
225,"MG Hector is the best car I ever saw, best in feautures and best in driving expirience. The car is made in such a way that the person would buy it after driving it. Everyone has a dream for this fantastic car. Read More"
226,"  MG Hector is having poor quality interiors, bad ride quality such as body roll. Engine lacks a punch comparing the size of the car feels very underpowered, exteriors are good and eye-catchy Read More"
227,MG Hector is the best SUV in the segment with fully loaded and excellent features. It gives smooth and comfortable driving. Go for it!
228,"MG Hector is a great car. I took the test drive and its a mind-blowing car and one of the most impressive feature in this car is voice command with 10.4"" infotainment system.     Read More"
229,  MG Hector is a powerful car with best features. It has a powerful engine which gives the best experience.
230,This is an amazing machine. Full of power. In short its a beast. It is very comfortable and the petrol variant is so quiet from inside.
231,"It is really spacious, amazing handling on roads, good looks & affordable when compared to similar size vehicle. KIA Seltos is similar but there is no competition of Hector. Price for this is really competitive. Read More"
232,"Too good vehicle. The opposing market is perplexed and dumb, about what to comment. The quality, the material, the engine, the sunroof, the rear seat comfort is flawless. An affordable luxury. Read More"
233,"MG Hector gives good power and torque with modern features like wide touchscreen with the internet. Car is very spacious, comfortable to drive even in city traffic."
234,Touch response is not that good as compared to variants sold outside India and the interior is nice not the best and I did not like the design as it looks like a rectangular box as and it is not appealing as other competitors in the segment as well as the Kia Seltos which has made its debut in India. I think Seltos will gain more buyers than Hector...Read More
235,"MG Hector, I just love this car as car design, interiors and exteriors are great. The best thing is voice control."
236,  MG Hector is an awesome car as it is India's first internet car. Car is having a large boot space and available at a different price range.
237,  MG Hector is a beautiful and comfortable car with same engine as of Jeep Compass and Harrier. Really happy with this car.
238,"MG Hector is a revolution in motor industry to come with this many features in this price like solid body, Fiat engine n excellent comfort drive."
239,Nice car with a good drive and handling. My children are liking it very much especially the sunroof color quality is excellent.
240,Disliked the car. Expectations were high but the car was not at all up to the mark. Poor build quality. Even a small hit had put a deep dent on it.
241,Disliked the car. Expectations were high but the car was not at all up-to-the-mark. Poor build quality. Even a small hit had put a deep dent on it.
242,A very bad car indeed. Not at all recommended. Poor quality and road presence. Not at all suitable for odd rising.
243,"My experience is amazing with MG Hector. The car is very spacious from inside, the cabin and the build quality is also strong. There are many first-in-segment and best-in-segment features like Bose speakers, Voice Control, Panoramic Sunroof, 10.4 Inch Touchscreen, Inbuilt Navigation and much more. I would strongly recommend this car to people who a...Read More"
244,MG Hector's handling is not excellent and the steering feels a little disconnected form the road. The rest of the car has really good features like the connected asssitant and internet. The huge infotainment system really catches the attention. The seats are really comfortable. It is really spacious. The boot is big. But the engine is little underp...Read More
0,"Yes, the HTX variants of Kia Seltos has music system installed in it."
1,"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Ki...Read More"
2,"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has bee...Read More"
3,"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feat...Read More"
6,I have purchased Seltos HTK PLUS Diesel Automatic car is good in handling and running on roads. But there are some problems in quality car doors is very lightweight inside material is also not so premium as I was thinking. The average is also not so good. The audio system is very awesome with mood lighting features. seats are very comfortable but t...Read More
7,"I have this car, it's awesome, I am using this car last three months, I haven't felt any problem and it's very good at driving and price-wise it's really good amazing features, a stylish look which makes it perfect. Read More"
8,"Seltos is good, but they need to lower the budget but the car and it is a high-class luxury car. The handling is also very smooth, pickup speed is also superb, the AC cooling is good and superb brakes. But the airbags must be more so that it will ensure safety of the people. Read More"
9,Very good car and smoothness of the car is nice and features of the car are awesome. The car looks like an SUV and nice-looking exteriors.
10,Seltos is an awesome and comfortable car with low maintenance and low price. The facilities available are good looking at high range.
11,This is a very nice car and the features are very good. People must buy this car. The seats are very nice as well.
12,"Good space and excellent comfort, safer, looks are bold and stylish. The best car in this budget for a small family."
13,An awesome and classy car with its amazing features and beautiful and classy look. No other car in this range can give take over to Kia Seltos. This is my humble request to Kia to introduce more cars like this and keep going like this. Read More
14,"A compact SUV with the styling, features, and tech to really hit the sweet spot as far as what customers are looking for."
15,Nice car with suitable features and the cost is also reasonable but the thing is availability. It's not available at all places.
16,"Nice car and the design was too awesome. This is the awesome entry of Kia in India. It includes a bose speaker which is too good. In India, this is a first car comes inbuilt bose speakers which are a pretty good thing about the car. The interior was also a good highlight and the exterior was also good. At this price, the car is too good. Read More"
17,Nice car with a lot of features including 360 camera facilities and lot of things which are given the first time in any vehicle in India with low cost and vehicle comfort is high and performance is also good cc is excellent and so on etc enjoy Hia motors enjoy Kia Seltos. Read More
18,"Well, a featured car with full specifications and well likable also, I love to ride this car every time and the main part is that it is suitable for every type of person. Read More"
19,"This car is a very good choice at this price, body, look, maintenance and service, everything is maintained by Kia India."
20,The great car really with great interiors and full of new functionality which we haven't seen in any other car in India. Very much spacious and looks amazing.
21,"The Kia Seltos is one of the most eagerly anticipated launches for the year 2019. But before Kia Motors announces the price of the Seltos, we were invited to take the compact SUV for a spin around the streets of Goa. Read More"
22,The excellent new designs and the world's most beautiful car has already buzzed the market. 
23,Very nice car and very comfortable seats with powerful brakes. The interiors and its seating arrangement are also amazing. Available at affordable prices.
24,A very comfortable and smooth vehicle. The gear-box is very smooth.
25,Amazing car with ultimate colors.
26,"The Kia Seltos is good in every possible way, but there is a huge downside to the Seltos in case of pricing, where the vehicle is manufactured in Andhrapradesh the prices must be a bit low as all the other rival are priced very less in spite of manufacturing out of India. There is one thing Kia should implement which is it should provide the essent...Read More"
27,"Kia entered the Indian market with the SELTOS the one which shook the Hyundai CRETA and takes the first position in the compact SUV segment. It is offered with a 10.25-inch touchscreen display, KIA's UVO connects, air purifier, sunroof, and HUD(Heads Up Display). The car has three engine options all of them available either in manual or automatic t...Read More"
28,"Good experience while seating on driver seat. It is like, this is the car I was waiting for. It has a 4-star quality, being a middle-class 1 star less for price."
29,Best of 2019 just because it has extra features and good looking interior and exterior design.
30,"Best in class, good infotainment system, smooth driving and feels like a premium one. For only who can afford it."
31,The affordable SUV car is so comfortable and it has many functions. It has a sunroof as well. Also available at the cheapest rate as compared to the Venue.
32,I love the interior of this car This is perfect for the family and It is an affordable good looking car. The front-facing is superb.
33,"It's a nice car and really worth the price. It looks fantastic when it runs like a cheetah on the road. Talking about the safety of the car, absolutely safe car. Power and horsepower are really very powerful. Boot space is also very huge. Radio screen of 8 inches looks perfect and the speakers of BOSE give a clear voice and it has mood light also w...Read More"
34,"The car gets at the top speed in no time, it is a great car to get the money worth. The Seltos is amazingly featured as well."
35,This car is very excellent in this price range because in this car there are more additional features.
36,"Yes, the HTX variants of Kia Seltos has music system installed in it."
37,Very Nice car and feels like luxurious looking XUV. Very comfortable and amazing features. 
38,SELTOS HAS GIVEN A BIG COMPETITION TO HYUNDAI CRETA IN THIS SEGMENT. THE KIA IS ABSOLUTELY THE KING.
39,"Such an Impeccable Machine with flawless drive, Indomitable power, eye-catching design, and Hushed Engine. Its a feeling of some luxury segment at very competitive pricing. Moreover Interior is just mind-blowing with such soothing acoustic sound. Pocket-friendly for all mileage concern buyers as it easily churns 18 km-22 km per liter depending on c...Read More"
40,"Wonderfull look this car has, interiors are mind-blowing. This car is fully loaded with multiple features."
41,I had fun while test driving the demon. A good one with awesome driving excellence. Great build quality and control.
42,"This car is a very silent and very nice car. It has many new, useful features. Quite spacious as well."
43,"A car that is built to conquer the mid-size SUV segment. With all the bells and whistles coming in terms of features and power(1.4 turbo petrol) combined with the variety to choose from, be it types of transmission options and varients and also color options, made to be unique for almost every masterpiece made making it an extreme value for money p...Read More"
44,"The Kia Seltos has a very different design, and very much comfortable. "
45,Great performance with dashing looks.
46,"The car looks like SUV but not the real SUV. The petrol engine never makes any noise but here I can see unexpected things. IVT is lazy. Manual petrol and 1.4 is good. Diesel major looks difference from petrol even the grill and the bumper not matching with. Petrol 1.4 and diesel have all the disc brake, not the other petrol. Bose speaker is only av...Read More"
47,"Very excellent car, the look of the car is impressive and the ride and handling quality is awesome. The interior of the car is so classy, every look of car is so commendable. The color combinations of the car are too good. The alloy of car is mind-blowing and boot space is very much spacious. Read More"
48,Very good car with a fantastic front look and have a great boot space. Have sufficient leg space at the back.
49,"Fully feature-loaded SUV. Kia has done excellent work for Indian customers. 5-star for its look, features, and performance."
50,"I'm driving the Kia Seltos HTK+ Diesel model. Overall the car is best. I have driven it 6500kms, but still no issue. Pick up is great. Mileage is around 21kms also best on bad roads. The car is best on curve road to have great grip. Infotainment is good. Some issues with Android Auto gets disconnected within1hr. But with a software update, it will ...Read More"
51,It's a pleasure to sit in the car and treats me like a king.
52,Smooth driving and luxurious car.
53,"Satisfying ride, comfortable seats, powerful beast. I tried other cars in the same price range but no one was comforting as this one."
54,Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car drives smoothly and this car is best for buying. Read More
55,I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.
56,"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed."
57,"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I have been driving Seltos HTX Diesel for 1000 km now and the car never ceases to surprise. More airbags could have helped and the rear seat could have been a bit longer for support...Read More"
58,"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a masculine look which is attracting most of the young people. Multiple variants and both manual and auto transmission options make it a top seller. The only area where it needs to ...Read More"
59,"It's a good looking car, nice performance, comfort level is good and luxurious. The interior is very attractive and of good quality."
60,"Very good car in budget with the best performance, low maintenance and undoubtedly controlling is also very well."
61,"A very good car, in this price tag they gave all premium interiors but the only thing petrol DCT transmission heats up."
62,These new entrants are not as per the safety norms. Only features and comprising on safety. People in India are not looking at safety ratings while purchasing a car like playing with life. This is well understood by these vehicle manufacturers and hence they are putting only features. I think safety should be first. Read More
63,"If we talk about the overall ratings of Seltos, no one can give a proper review. When I started the engine, the sound was so negligible that I cannot tell you the silence in the cabin. The power to thrust ratio is well explained in this Car. Even if you scale at 3rd gear. The engine seems to be smooth and amazing. I would suggest Seltos over The He...Read More"
64,"The car is great at handling and suspension is set good for the Indian roads. Good design in exterior as well as interior, The engine shows good aggressiveness in the real world. Offroad experience is good too because of the suspension and the projector headlights. The space that the car offers in the second row and in the boot is pretty good. The ...Read More"
65,"Excellent SUV with modern technology, style, performance, handling, comfort. Perfect vehicle by Kia. Impressed with the long list of features including Head's up display, Air purifier, 360 camera with the blind-spot camera. Kia plays a key role in the Indian market. Read More"
66,"Kia Seltos is providing all features in under 10 lakh price range. An awesome car as compared to other cars. Mostly, getting all the safety features in this car."
67,"Yes, the HTX variants of Kia Seltos has music system installed in it."
68,Seltos is a big hit in India. Kia released their first car and got a massive hike. The horsepower and 1-liter turbo charge is just lit. It became the fourth largest car producing companies in India already. The screen in the car is just awesome and should've got panoramic sunroof competing for the MG Hector. The speed is pretty good. Read More
69,The best car in the segment and is quite affordable.
70,Great design and silent cabin with good ground clearance. Comfortable to drive for longer travel.
71,I had a test drive and the performance and comfort were good. The riding position should have been better.
72,This car is unbelievable due to its features and looks it has.
73,Best experience with new Kia. Fully loaded with Hi-Tech features. Enjoying the drive as this is the most amazing car ever.
74,A fabulous car which is very much extra-ordinary.
75,Really an amazing car and a very smooth car.
76,The Kia Seltos is a bit more expensive but offers a lot more for it in terms of safety and features. It is well worth the premium over the MG Hector
77,The most beautiful car than other companies currently in India. I don't know much about this company but this is the best car for everyone because this is a very powerful car and the model is very nice looking and indicators are comparing with Audi and the price is very suitable than other companies. Read More
78,"This is actually the best offering in the current price range. People have been cribbing about features, well then pay for it! You forget it's technically not an Indian company, so taxes are more! The range-topping GTX+ model which now also comes in both petrol and diesel comes with features that none of the vehicles in the current market offer. 6 ...Read More"
79,"Kia Seltos is the one in a class after much-awaiting finally release this car with all the most useful features. Kia Seltos the car with ease. The vehicle drives very smooth and you can get very attached and comfortable within its first 5 seconds of the drive. Interior is refreshing, the led wall is a gem. Smooth drive brings you comfort. Looks are...Read More"
80,"Kia Seltos is a very spacious car and the interiors are awesome. Very good ground clearance is very good. Seating capacity is 5, engine power is boosted. The pick up is very good. Mileage is ok. Read More"
81,The Kia Seltos is very excellent in looks. Its alloy wheel looks great and the front fog lamps and big headlights with DRLs looks are pretty much fascinating. This mid-size SUV is too good in this range. Kia Seltos is better than MG Hector and Hyundai Creta. Kia Seltos's front view is looking aggressive and side view of Seltos is just amazing. Read More
82,It looks very different as it has a sunroof and is a five-seater car. The boot space is also bigger than other cars.
83,"Best in the segment car and strongly suggest you take a good long hard look at the Kia Seltos. It's a compact SUV that looks super promising, offers a lot and from our first drive experience and felt the moment. Read More"
84,"Kia Seltos is a nice car and also getting good legroom, headroom and overall spacious car. Kia is one of the best companies which offers a passenger vehicle with all the best possible features. Read More"
85,Best in class and very cool engine and best breaking system good engine sound interior has very good finishing.
86,Looks are definitely the best. But it lacks good suspension. It's a little bit hard. It gives a very premium feel while I enter in it. Full of features.
87,"Very good car in terms of technology and ride experience, but if it was fuel electric it would have been much better."
88,"Excellent Features and at par with luxury cars like BMW and Benz etc. I was using Ford Ecosport which was much stronger than Kia Seltos. Transmission temperature increases and you are forced to stop in traffic. Except for the strength and heaviness of the car, looks-wise It is very elegant. Read More"
89,"Looking nice and has a good performance as well. One of the best SUV of the current time, autonomous and voice control are amazing."
90,This car is really very good at having a very excellent performance. I love this car because of its awesome interior and very good features at very low rates.
91,Perfect car of the year loved all its features in this car. No car can beat the accessories the technology provided in this car.
92,Excellent features are loaded like premium cars. The look is great and awesome Cost is very competitive in the SUV segment.
93,"This car is just amazing with a bunch of features and this is the best in-car segment, it is just amazing for youngsters."
94,The interior and exterior are very nice and beautiful.
95,It's the best car in the price range and gives me the phenomenal performance that an SUV owner wants. It's my pleasure to have a Kia in my house. This car has an outstanding fuel economy compared to other car. The car comes with a good dynamic look and with outstanding features that will help you in your daily life. The car comes with a sunroof tha...Read More
96,Great features the car has. Amazing mileage and great performance.
97,"Well, this car is one of the best premium SUVs you can buy today, with features like air purification and the mirrors that show the side view of the car for an added layer of safety. It's the best mid-sized SUV you can buy. Interiors give it a premium look, and yes drives like a charm. Read More"
98,"Yes, the HTX variants of Kia Seltos has music system installed in it."
99,I am a big fan of Kia. When I was in South Korea my brother bought a Kia optimum. When Kia launched its first car Seltos in India. I bought that. And I am very happy to buy this car. Its mileage is OMG! Very very good. The pickup is very good. It's very smooth. It looks very sharp. And it is as comfortable as a Jaguar. And successfully it is the to...Read More
100,I like every part of the Kia Seltos as the seats are very comfortable. The look is superb. The speedometer is stylish. The red colour is best Kia Seltos has multiple engine options as I want. This car is available in petrol as I want a petrol car. All engine has an automatic gearbox. The car has air purifier Car has a Bose sound system. Connect car...Read More
101,"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended. Read More"
102,"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED."
103,"This car looks amazing and also has a 360-degree camera view, which is very rare."
104,"Kia Seltos is the best in class, comparatively, it's not a box, the base variant is also carrying all necessary features. The music system and multifunction steering are available in all models. Read More"
105,It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. 
106,"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable. Read More"
107,"The car looks like a beast and the engine power is great, the Bose sound system is top-notch, and the 360-degree camera view is very helpful."
108,"According to me, Kia Seltos is best. Best in Comfortable, best in mileage, best in look. In short, an amazing car."
109,"Superb sound quality sound system and excellent future car. Mind-blowing look, low price best design. Segment 1st Smart Heads-Up Display. World's 1st SmartPure Air Purifier. Bose Premium Sound System with 8 speakers & LED Sound Mood lights with straight Line designs and World-Class Quality. Read More"
110,The look is best. And the interior is awesome And technology is mind-blowing by comparison to another car like MG Hector and others. The engine power of the KIA Seltos is best. And the drive is very smooth. The KIA Seltos have soo much Space for comfort setting.  And also have soo much function on the dashboard. The dashboard of the KIA Seltos is f...Read More
111,The smoothest experience I have ever had was in this car. So much of class and performance in this car I just loved it.
112,Kia is the best car that is safe & smooth. Available at the best price.
113,Awesome car with a Bose music system. Far better than Hyundai's Creta. Great riding experience with KIA and within the budget.
114,"Amazing driving experience being a cousin of Hyundai, Kia gives more money value but MG has better space and features."
115,"Amazing features, excellent road presence with safety features and comfort within the budget."
116,Great car with multiple features. Highly recommended.
117,"It's a good product from Kia. It is a great allrounder in all aspects. It's a clear rival for segment leader Creta. Seltos is a great car, balancing pocket and commendable performance. Even it proved that it's far better than India's most awaited SUV Hector from MG motors. Ultimately its a great start to Kia in India. Read More"
118,"Kia Seltos is an awesome car with a great look. Also, getting average mileage in this vehicle.  "
119,"The car looks amazing, The DRL's are attractive and the touch screen display has a really good response; but the car couldn't get 5 stars as the speedometer and the touch display could be more stunning which would upgrade the interior to a whole another level; Even though the dual-tone interior is interesting. The design of the car will stand out a...Read More"
120,"The car is awesome. I bought the Seltos 1.4T GTX Plus Manual and the engine & gearbox are really smooth which delivers an unbelievable power. The cabin of the car is so well built that all the buttons and switches are at your fingertips. 360-degree camera, Blindspot view, Bose speakers, Ventilated seats and HUD makes the car superb. NVH levels are ...Read More"
121,"Amazing experience, however, a bit expensive when compared to MG Hector. It is very spacious and is affordable."
122,Kia Seltos is the Beautiful Compact SUV. It is the best car in the 10 lac budget range.
123,"Car is very comfortable and has classy looks. I have purchased Kia Seltos GTX+ DCT in the month of October from Pune dealer. I have been around for three weeks. But since the very first day, I noticed a very annoying sound coming from rear of the vehicle. I have tried all possible things like removing all lose attachments and items from the car but...Read More"
124,Pickup and mileage are amazing. The comfort level up to the mark.
125,One of the best cars in 2019 by Kia. Features in the car are amazing.
126,"Great looks and amazing transmission features. Aux, A.C., and rear parking camera are wonderful."
127,"DON'T BUY SELTOS: 1=WASTE OF TIME AND MONEY. 2=COST WISE HIGH-QUALITY WISE LOW. 3=MILEAGE TOO LOW. 4=I'M BUYING A GTX 7 DCT AUTOMATIC TRANSMISSION PETROL AS I HAD A LOT OF TROUBLE IN MY VEHICLE. FAULT CAN START IN BELOW MENTIONED FACTORS: 1, A.C. NOT WORKING AS WELL. 2, THE BRAKING SYSTEM IS OLDER THEN AMBASSADOR. 3, MILEAGE IS BELOW 12 KM ...Read More"
128,This car is aggressive & beautiful in this segment. This car fully loaded with features.
129,"Yes, the HTX variants of Kia Seltos has music system installed in it."
130,"NO ONE CAN FIND A BETTER SUV THAN KIA SELTOS. ITS AMAZING LOOKS AND BODY ALIGNMENT ARE SOO GOOD AND TOUGH. INTERIORS ARE BEST OF ITS CLASS. I WOULD RECOMMEND YOU TO BRING HOME KIA SELTOS AND HAVE FUN LONG TRIPS WITH YOUR FAMILY. IT'S BEST WHEN ITS COMES TO ALL-TERRAIN, SO GIVE YOUR FAMILY A PLEASURE OF RIDING A GOD OF CHARIOTS. Read More"
131,Kia Seltos is an awesome car from my experience. Good for long routes and quite spacious with comfort and relief. Happy with features of the car. Family and friends appreciated my choice and also wants always to ride my car. Read More
132,"Kia Seltos the best automotive made by Kia. It has a 7.5 to 8.1inch screen which provides car information and navigation. There is also a head-up display through which you can get essential information such as speed. It is a good car in terms of safety which carries 4 airbags in the top variant. Even in the low variant, the safety measures are amaz...Read More"
133,Kia Seltos is a very good car. It has new features with a triggered mileage. It's quite comfortable within the budget.
134,Very nice car and superb features. It looks amazing and gives a feel which is quite comfortable.
135,It's an amazing experience as the drive is very much comfortable. It has many features to entertain and gives a wonderful experience to the passengers as well.
136,Good car with the best features within the budget. The interior and the seats of the car make it luxurious.
137,"Nice car with lot more features. Fully loaded with multiple features, the best features is the 360-degree camera."
138,It was the best experience for me. I enjoyed it thoroughly.
139,This is the best car in my budget as the features available are amazing including the interior and the exteriors.
140,"Best car in its segment. Excellent drivability, superb engine, amazing ergonomics, wonderful comfort, and humongous space. The car is a total package of comfort and performance. Seats are adjustable for both driver and front passenger side. Loads of legroom for the rear passengers. Excellent boot space. Better buy than Jeep Compass or Hyundai Creta...Read More"
141,"Features loaded car beyond expectations. Wonderful engine, superb interior with amazing quality, fabulous fit, and world-class finish."
142,"A very nice car with bose speakers, which is not available in other cars in its segment. Worth buying it. This car is spacious, safe, powerful. This car comes with 6 airbags, sufficient boot space, and sunroof. Ambient mood lighting gives a luxurious and soothing experience. Read More"
